,weight,group
1,125.1,ctrl
2,167.4,ctrl
3,155.4,ctrl
4,183.3,ctrl
5,135,ctrl
6,138.3,ctrl
7,155.1,ctrl
8,135.9,ctrl
9,159.9,ctrl
10,154.2,ctrl
11,144.3,trt1
12,125.1,trt1
13,132.3,trt1
14,107.7,trt1
15,176.1,trt1
16,114.9,trt1
17,180.9,trt1
18,146.7,trt1
19,129.6,trt1
20,140.7,trt1
21,189.3,trt2
22,153.6,trt2
23,166.2,trt2
24,165,trt2
25,161.1,trt2
26,158.7,trt2
27,147.6,trt2
28,184.5,trt2
29,174,trt2
30,157.8,trt2
31,81.3,trt3
32,123,trt3
33,131.1,trt3
34,86.4,trt3
35,118.2,trt3
36,171.6,trt3
37,97.2,trt3
38,113.1,trt3
39,95.7,trt3
40,129.3,trt3
